DEPREG_LIMPIO,total_divorcios,edad_hom_media,edad_muj_media,edad_hom_std,edad_muj_std,prop_mes_1,prop_mes_2,prop_mes_3,prop_mes_4,prop_mes_5,prop_mes_6,prop_mes_7,prop_mes_8,prop_mes_9,prop_mes_10,prop_mes_11,prop_mes_12
Jutiapa,2248,35.919382504288166,31.654008438818565,11.075101485904899,10.026491239255865,0.08140569395017794,0.0898576512455516,0.08140569395017794,0.08629893238434164,0.08763345195729537,0.0849644128113879,0.08229537366548043,0.09830960854092527,0.08674377224199288,0.09252669039145907,0.06717081850533808,0.06138790035587188
Petén,1488,35.08345534407028,30.913597733711047,9.95519604121607,8.874038112833594,0.08400537634408602,0.08064516129032258,0.08198924731182795,0.07862903225806452,0.08938172043010753,0.07190860215053764,0.07594086021505377,0.09206989247311828,0.07526881720430108,0.11088709677419355,0.08064516129032258,0.07862903225806452
Quetzaltenango,4175,35.452370781717214,32.39481641468682,10.368219426586558,9.76754759821497,0.07233532934131737,0.09389221556886228,0.08934131736526946,0.07353293413173653,0.07760479041916167,0.07520958083832335,0.09005988023952095,0.09461077844311377,0.09149700598802395,0.10586826347305389,0.06826347305389222,0.06778443113772455
Quiché,1471,33.14420485175202,28.926330150068214,10.174428139378506,8.420475129380367,0.07885791978246091,0.09177430319510536,0.0849762066621346,0.07817811012916383,0.08225696804894629,0.07817811012916383,0.09449354180829368,0.1026512576478586,0.08293677770224338,0.10944935418082936,0.061182868796736914,0.055064581917063225
Retalhuleu,1568,34.15579227696405,30.27931488801054,10.111298782622354,8.404577315167318,0.0899234693877551,0.09821428571428571,0.0899234693877551,0.0778061224489796,0.08035714285714286,0.11096938775510204,0.08418367346938775,0.0784438775510204,0.08673469387755102,0.08928571428571429,0.06887755102040816,0.04528061224489796
Sacatepéquez,1205,35.74038461538461,33.12571428571429,9.94299280019909,8.604732283244093,0.08796680497925312,0.0995850622406639,0.0912863070539419,0.08132780082987552,0.08962655601659751,0.09294605809128631,0.09045643153526971,0.08381742738589211,0.08298755186721991,0.0979253112033195,0.05062240663900415,0.051452282157676346
San Marcos,2049,35.65727699530517,32.24656278643447,10.494444739852868,9.295982885513045,0.06637384089799903,0.08979990239141045,0.08882381649585164,0.060029282576866766,0.09224011713030747,0.09028794533918985,0.09126403123474866,0.09907271839921913,0.0951683748169839,0.1059053196681308,0.06051732552464617,0.06051732552464617
Santa Rosa,1466,35.94668587896253,32.40197461212976,10.374587902072916,9.72361250581266,0.07435197817189632,0.07503410641200546,0.10368349249658936,0.0688949522510232,0.07776261937244201,0.09208731241473397,0.07435197817189632,0.08799454297407913,0.08867667121418826,0.10914051841746249,0.08731241473396999,0.06070941336971351
Sololá,621,33.22727272727273,30.19060773480663,9.349774618582277,9.126663027798667,0.07246376811594203,0.10466988727858294,0.0853462157809984,0.05958132045088567,0.09339774557165861,0.09500805152979067,0.0853462157809984,0.08051529790660225,0.06602254428341385,0.10466988727858294,0.07729468599033816,0.07568438003220612
Suchitepéquez,1762,34.75935828877005,30.914323962516733,10.746979557114745,9.27004145318138,0.06980703745743473,0.09364358683314415,0.10158910329171396,0.07775255391600454,0.08286038592508513,0.07945516458569807,0.08626560726447219,0.09137343927355278,0.10556186152099886,0.10102156640181612,0.06526674233825198,0.04540295119182747
Totonicapán,917,31.284140969162994,28.68640350877193,9.066147135036116,8.738717146497713,0.0697928026172301,0.09378407851690294,0.09051254089422028,0.0806979280261723,0.0861504907306434,0.07088331515812432,0.08505997818974918,0.08505997818974918,0.08505997818974918,0.12104689203925845,0.06652126499454744,0.06543075245365322
Zacapa,1512,35.38360175695461,30.707207207207208,10.422841509468158,8.951994393270752,0.06547619047619048,0.08002645502645503,0.10582010582010581,0.06944444444444445,0.09722222222222222,0.0787037037037037,0.09259259259259259,0.08862433862433862,0.07473544973544974,0.09193121693121693,0.08862433862433862,0.0667989417989418
